IMPPAT phytochemical identifier,ADMET_Classification
IMPHY000060,1
IMPHY000752,0
IMPHY000795,1
IMPHY000846,0
IMPHY001089,0
IMPHY001135,0
IMPHY001548,1
IMPHY001962,0
IMPHY002915,1
IMPHY002965,0
IMPHY003050,1
IMPHY003676,1
IMPHY003689,1
IMPHY003725,0
IMPHY003727,0
IMPHY003915,1
IMPHY003921,0
IMPHY004079,1
IMPHY004121,1
IMPHY004187,0
IMPHY004235,0
IMPHY004388,0
IMPHY004536,1
IMPHY004619,0
IMPHY004661,0
IMPHY005089,0
IMPHY005364,1
IMPHY005526,1
IMPHY005758,0
IMPHY005824,0
IMPHY006032,1
IMPHY006220,1
IMPHY006221,1
IMPHY006279,1
IMPHY006322,1
IMPHY006362,0
IMPHY006394,0
IMPHY006485,1
IMPHY006558,0
IMPHY006947,1
IMPHY006970,1
IMPHY006971,1
IMPHY006978,1
IMPHY006988,0
IMPHY007041,1
IMPHY007076,1
IMPHY007100,1
IMPHY007151,0
IMPHY007171,1
IMPHY007186,1
IMPHY007204,1
IMPHY007276,1
IMPHY007327,1
IMPHY007331,1
IMPHY007354,1
IMPHY007357,1
IMPHY007450,0
IMPHY007539,1
IMPHY007620,1
IMPHY008252,0
IMPHY009751,1
IMPHY009752,1
IMPHY009946,1
IMPHY010225,1
IMPHY010558,0
IMPHY010961,0
IMPHY010984,0
IMPHY011396,1
IMPHY011453,1
IMPHY011541,1
IMPHY011609,0
IMPHY011670,0
IMPHY011737,0
IMPHY011933,0
IMPHY011960,1
IMPHY011974,1
IMPHY012021,0
IMPHY012050,0
IMPHY012058,1
IMPHY012080,1
IMPHY012089,1
IMPHY012100,1
IMPHY012160,1
IMPHY012171,0
IMPHY012294,1
IMPHY012435,0
IMPHY012626,1
IMPHY012654,1
IMPHY012723,1
IMPHY012920,1
IMPHY012989,0
IMPHY013083,0
IMPHY014854,0
IMPHY014885,1
IMPHY014906,1
IMPHY014908,0
IMPHY014923,1
IMPHY014989,1
IMPHY015022,1
IMPHY015116,0
IMPHY015133,0
IMPHY015179,0
IMPHY015234,1
IMPHY015271,1
IMPHY015918,0
IMPHY016973,1
IMPHY017020,1
IMPHY017078,0
IMPHY017085,1
IMPHY017092,0
IMPHY017107,1
IMPHY017175,0
IMPHY017345,0
IMPHY017352,1
IMPHY017393,1
IMPHY017410,1
IMPHY017435,0
IMPHY017452,0
IMPHY017456,0
IMPHY017468,1
IMPHY017481,1
IMPHY017514,1
IMPHY017516,1
