IMPPAT phytochemical identifier,ADMET_Classification,Molecule Name,SMILES,Lipinski_Rule_of_5_Pass
IMPHY000060,1,Myristic acid,CCCCCCCCCCCCCC(=O)O,1
IMPHY000752,0,,,
IMPHY000795,1,Octanal,CCCCCCCC=O,1
IMPHY000846,0,,,
IMPHY001089,0,,,
IMPHY001135,0,,,
IMPHY001548,1,Geranylacetone,C/C(=CCCC(=O)C)/CCC=C(C)C,1
IMPHY001962,0,,,
IMPHY002915,1,Benzyl Alcohol,OCc1ccccc1,1
IMPHY002965,0,,,
IMPHY003050,1,Methyl salicylate,COC(=O)c1ccccc1O,1
IMPHY003676,1,"(2S,4R)-p-Mentha-1(7),8-dien-2-ol",CC(=C)C1CCC(=C)C(C1)O,1
IMPHY003689,1,cis-3-Hexenal,CC/C=CCC=O,1
IMPHY003725,0,,,
IMPHY003727,0,,,
IMPHY003915,1,2-Decenal,CCCCCCC/C=C/C=O,1
IMPHY003921,0,,,
IMPHY004079,1,Catechol,Oc1ccccc1O,1
IMPHY004121,1,2-Heptanone,CCCCCC(=O)C,1
IMPHY004187,0,,,
IMPHY004235,0,,,
IMPHY004388,0,,,
IMPHY004536,1,Geranic acid,CC(=CCC/C(=C/C(=O)O)/C)C,1
IMPHY004619,0,,,
IMPHY004661,0,,,
IMPHY005089,0,,,
IMPHY005364,1,"2,2,6-Trimethylcyclohexanone",CC1CCCC(C1=O)(C)C,1
IMPHY005526,1,2-Undecenal,CCCCCCCC/C=C/C=O,1
IMPHY005758,0,,,
IMPHY005824,0,,,
IMPHY006032,1,2-Ethylhexanol,CCCCC(CO)CC,1
IMPHY006220,1,Angelic acid,C/C(=C/C)/C(=O)O,1
IMPHY006221,1,Tiglic acid,C/C(=CC)/C(=O)O,1
IMPHY006279,1,2-Phenylethanol,OCCc1ccccc1,1
IMPHY006322,1,Safranal,O=CC1=C(C)C=CCC1(C)C,1
IMPHY006362,0,,,
IMPHY006394,0,,,
IMPHY006485,1,beta-Ionone,CC(=O)/C=C/C1=C(C)CCCC1(C)C,1
IMPHY006558,0,,,
IMPHY006947,1,1-Decanol,CCCCCCCCCCO,1
IMPHY006970,1,Decanal,CCCCCCCCCC=O,1
IMPHY006971,1,Methyl palmitate,CCCCCCCCCCCCCCCC(=O)OC,1
IMPHY006978,1,2-Methylpyrazine,Cc1cnccn1,1
IMPHY006988,0,,,
IMPHY007041,1,Furfural,O=Cc1ccco1,1
IMPHY007076,1,Undecanal,CCCCCCCCCCC=O,1
IMPHY007100,1,1-Dodecanol,CCCCCCCCCCCCO,
IMPHY007151,0,,,
IMPHY007171,1,1-Hexanol,CCCCCCO,1
IMPHY007186,1,Heptanal,CCCCCCC=O,1
IMPHY007204,1,Dodecanal,CCCCCCCCCCCC=O,1
IMPHY007276,1,Nonan-1-ol,CCCCCCCCCO,1
IMPHY007327,1,Palmitic acid,CCCCCCCCCCCCCCCC(=O)O,1
IMPHY007331,1,6-Methyl-5-hepten-2-one,CC(=O)CCC=C(C)C,1
IMPHY007354,1,Hexanoic acid,CCCCCC(=O)O,1
IMPHY007357,1,Nicotinic acid,OC(=O)c1cccnc1,1
IMPHY007450,0,,,
IMPHY007539,1,Phenylacetaldehyde,O=CCc1ccccc1,1
IMPHY007620,1,1-Octanol,CCCCCCCCO,1
IMPHY008252,0,,,
IMPHY009751,1,1-Heptanol,CCCCCCCO,1
IMPHY009752,1,beta-Cyclocitral,O=CC1=C(C)CCCC1(C)C,1
IMPHY009946,1,Benzaldehyde,O=Cc1ccccc1,1
IMPHY010225,1,Methyl 1-methoxy-1H-indole-3-carboxylate,COC(=O)c1cn(c2c1cccc2)OC,1
IMPHY010558,0,,,
